,STATEFIP,PUMA,PUMA_NAME
327,6,7703,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities"
328,6,7704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities"
329,6,7901,San Luis Obispo County (West)--Coastal Region
330,6,7902,San Luis Obispo County (East)--Inland Region
331,6,8101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town"
332,6,8102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities"
333,6,8103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities"
334,6,8104,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities
335,6,8105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities"
336,6,8106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town"
337,6,8301,Santa Barbara County (Northwest)--Santa Maria City & Orcutt
338,6,8302,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities"
339,6,8303,Santa Barbara County--South Coast Region
340,6,8501,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities"
341,6,8502,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities
342,6,8503,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities
343,6,8504,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities
344,6,8505,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock
345,6,8506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities"
346,6,8507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town"
347,6,8508,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities
348,6,8509,Santa Clara County (Central)--San Jose City (Northwest)
349,6,8510,Santa Clara County (Central)--San Jose City (Central)
350,6,8511,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park
351,6,8512,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley)
352,6,8513,Santa Clara County (Central)--San Jose City (Southeast/Evergreen)
353,6,8514,Santa Clara County (Central)--San Jose City (East Central/East Valley)
354,6,8701,Santa Cruz County (North)--Watsonville & Scotts Valley Cities
355,6,8702,Santa Cruz County (South & Coastal)--Santa Cruz City
356,6,8900,Shasta County--Redding City
357,6,9501,Solano County (Southwest)--Vallejo & Benicia Cities
358,6,9502,Solano County (Central)--Fairfield & Suisun City Cities
359,6,9503,Solano County (Northeast)--Vacaville & Dixon Cities
360,6,9701,"Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities"
361,6,9702,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities"
362,6,9703,Sonoma County (Central)--Santa Rosa City
363,6,9901,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities"
364,6,9902,Stanislaus County (Central)--Modesto City (West)
365,6,9903,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities"
366,6,9904,Stanislaus County (Central)--Modesto City (East)
367,6,10100,Sutter & Yuba Counties--Yuba City
368,6,10701,Tulare County (Northwest)--Visalia City
369,6,10702,Tulare County (West Central)--Tulare & Porterville Cities
370,6,10703,"Tulare County (Outside Visalia, Tulare & Porterville Cities)"
371,6,11101,Ventura County (Southeast)--Simi Valley City
372,6,11102,Ventura County (Southeast)--Thousand Oaks City
373,6,11103,Ventura County (Southwest)--Oxnard & Port Hueneme Cities
374,6,11104,Ventura County (Southwest)--San Buenaventura (Ventura) City
375,6,11105,"Ventura County (North)--Santa Paula, Fillmore & Ojai Cities"
376,6,11106,Ventura County (South Central)--Camarillo & Moorpark Cities
377,6,11300,"Yolo County--Davis, Woodland & West Sacramento Cities"
378,8,100,Northeast Colorado--Eastern Plains Region
379,8,102,Larimer County (South)--Loveland City
380,8,103,Larimer County (North)--Fort Collins City
381,8,200,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties"
382,8,300,"Weld County (South Central)--Greeley, Windsor & Evans Cities"
383,8,400,"Eagle, Summit, Grand & Jackson Counties"
384,8,600,"Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties"
385,8,700,Pueblo County (North)--Pueblo City & Pueblo West
386,8,800,Southeast Colorado
387,8,801,"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties"
388,8,802,Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town
389,8,803,Boulder County (Central)--Boulder City
390,8,804,"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties"
391,8,805,Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities
392,8,806,Adams County (West Central)--Thornton & Federal Heights Cities
393,8,807,Adams County (West Central)--Commerce City & Brighton Cities
394,8,808,Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities
395,8,809,Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central)
396,8,810,Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)
397,8,811,Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities
398,8,812,Denver City (Northeast)
399,8,813,Denver City (Northwest)
400,8,814,Denver City (South Central)
401,8,815,Denver City (Southeast)
402,8,816,Denver City (Southwest)
403,8,817,Jefferson County (Northeast)--Arvada City
404,8,818,"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities"
405,8,819,Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge
406,8,820,"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine"
407,8,821,Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park
408,8,822,Douglas County (South)--Castle Rock Town
409,8,823,Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery
410,8,824,DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)
411,8,900,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties"
412,8,1001,Mesa County (Central)--Greater Grand Junction & Fruita Cities
413,8,1002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties"
414,8,4101,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City
415,8,4102,El Paso County (West Central)--Colorado Springs City (West)
416,8,4103,El Paso County (Central)--Colorado Springs City (Central)
417,8,4104,El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills
418,8,4105,El Paso County (Central)--Colorado Springs City (South) & Security-Widefield
419,8,4106,El Paso County (North Central)--Colorado Springs City (North) & Monument Town
420,9,100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns"
421,9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns"
422,9,102,Stamford & Greenwich Towns
